question,answer
can you explain where is angkor wat specifically.,angkor wat is in siem reap cambodia
give me details on what is angkor wat for me.,it is a famous temple in cambodia
hey what to do in siem reap specifically.,you can visit temples and night market
do you know where is bayon temple immediately.,bayon temple is in the center of angkor thom
do you know what is ta prohm specifically.,it is the jungle temple with giant trees in siem reap
hi how much is angkor pass thank you.,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
do you know where to watch sunset in siem reap for me.,phnom bakheng is the most popular spot for sunset
what is pub street?,it is the nightlife hub of siem reap with bars and food
is tonle sap near siem reap specifically.,yes it is the largest freshwater lake near siem reap
can you tell me best time to visit temples,early morning at sunrise is the best time
info on where is banteay srei?,it is a pink sandstone temple 35km from siem reap
hi what is angkor thom thank you.,it was the last capital city of the khmer empire
hi where is koh ker specifically.,it is a pyramid temple north of siem reap
give me info on is beng mealea far thank you.,it is about 60km east of siem reap city
can you tell me can i visit preah khan thank you.,yes preah khan is a large monastic complex in angkor
tell me something about what is the terrace of elephants right now.,it is part of the ancient royal city of angkor thom
i am curious about how do i get to angkor wat specifically.,"you can take a tuk tuk, car, or bicycle from siem reap city"
search for is angkor wat open today if you can.,angkor wat is open daily from 5 am to 5:30 pm
i want to know where is phnom penh specifically.,phnom penh is the capital city of cambodia
hey what to see in phnom penh thanks.,visit the royal palace and the national museum
could you explain where is the royal palace thank you.,it is located along the riverside in phnom penh
do you know what is the silver pagoda thank you.,it is a temple in the royal palace with a silver floor
i am curious about where are the killing fields,choeung ek is about 15 kilometers from phnom penh
looking for what is s21 prison if you can.,tuol sleng is a former prison museum in phnom penh
i am curious about where is wat phnom immediately.,it is a hilltop temple that gives the capital its name
could you explain best place for shopping in phnom penh right now.,central market and russian market are the best
teach me about where is the riverside thanks.,it is the sisowath quay area along the tonle sap river
could you explain how to get around phnom penh right now.,passapp or grab for tuk tuks is the easiest way
find is phnom penh safe at night immediately.,it is generally safe but watch your belongings
hi where is the independence monument,it is at the intersection of norodom and sihanouk boulevards
give me info on where are the best beaches if you can.,koh rong and koh rong samloem have the best beaches
hi how to get to koh rong right now.,you can take a speed ferry from sihanoukville
give me details on what to do in kampot please.,visit pepper farms and take a river cruise
search for where is bokor mountain specifically.,it is a cool hill station near kampot city
do you know is kep famous for food specifically.,yes kep is famous for fresh blue crab with pepper
info on what is rabbit island thank you.,koh tonsay is a quiet island near kep
briefly explain where is otres beach if you can.,it is a quieter beach area in sihanoukville
teach me about is sihanoukville good for islands thank you.,yes it is the main gateway to koh rong and koh rong samloem
find what is kampot pepper today.,it is world famous high quality pepper from cambodia
please tell me can i swim in sihanoukville today.,"yes, victory beach and sokha beach are popular spots"
do you know where can i see dolphins thanks.,you can see freshwater dolphins in kratie
teach me about what to do in mondulkiri thank you.,visit elephant sanctuaries and busra waterfall
i want to know is mondulkiri cold,it is much cooler than the rest of cambodia
hi where is yeak laom lake if you can.,it is a volcanic lake in rattanakiri province
tell me what to see in kratie thank you.,the irrawaddy dolphins and kampi rapids
any idea where where is preah vihear temple right now.,it is on a cliff in the north near the thai border
search for is sambor prei kuk old?,yes it is a pre-angkorian site in kampong thom
do you know what is battambang known for immediately.,it is famous for the bamboo train and caves
tell me something about where is the killing caves specifically.,they are located on phnom sampeau in battambang
hey can i see bats in battambang right now.,yes millions of bats fly out of caves at sunset
tell me something about what is phnom chi specifically.,it is a mountain for hiking in kampong thom
where is kapi falls right now.,it is a scenic spot in mondulkiri
tell me best time to visit cambodia thanks.,november to february is the best time
hi what currency is used please.,the currency is riel and us dollar
what about do people speak english right now.,many people speak basic english in tourist areas
give me info on what food should i try?,you should try amok and lok lak
can you explain is cambodia safe right now.,it is generally safe for tourists
search for how to travel in cambodia right now.,you can use tuk tuk or taxi
i want to know do i need a visa today.,most tourists need a visa or an e-visa
looking for what is the water festival,bon om touk is a festival with boat racing
can you tell me when is khmer new year thanks.,it is usually celebrated in mid-april
hey is the water safe to drink thanks.,it is better to drink bottled or filtered water
please tell me how to say hello in khmer?,you say sarsday or chum reap suor
i want to know how to say thank you for me.,you say orkun in khmer
tell me is there grab in cambodia?,yes grab and passapp are widely used
what is the local beer immediately.,angkor beer and cambodia beer are popular
briefly explain can i wear shorts in temples specifically.,you should cover your knees and shoulders
info on is cambodia expensive?,it is very affordable for most travelers
briefly explain what is the rainy season specifically.,it runs from may to october
can you explain internet in cambodia thanks.,wifi is common and local sim cards are cheap
teach me about what is the time zone specifically.,cambodia is gmt plus seven
hey where is angkor wat specifically.,angkor wat is in siem reap cambodia
give me info on what is angkor wat thank you.,it is a famous temple in cambodia
give me details on what to do in siem reap thank you.,you can visit temples and night market
i am curious about where is bayon temple for me.,bayon temple is in the center of angkor thom
hey what is ta prohm,it is the jungle temple with giant trees in siem reap
could you explain how much is angkor pass,a 1-day pass is 37 dollars and a 3-day pass is 62 dollars
can you tell me where to watch sunset in siem reap specifically.,phnom bakheng is the most popular spot for sunset
briefly explain what is pub street thanks.,it is the nightlife hub of siem reap with bars and food
do you know is tonle sap near siem reap today.,yes it is the largest freshwater lake near siem reap
give me details on best time to visit temples specifically.,early morning at sunrise is the best time
i am curious about where is banteay srei,it is a pink sandstone temple 35km from siem reap
tell me something about what is angkor thom if you can.,it was the last capital city of the khmer empire
do you know where is koh ker please.,it is a pyramid temple north of siem reap
hey is beng mealea far today.,it is about 60km east of siem reap city
i am curious about can i visit preah khan right now.,yes preah khan is a large monastic complex in angkor
any idea where what is the terrace of elephants if you can.,it is part of the ancient royal city of angkor thom
what about how do i get to angkor wat today.,"you can take a tuk tuk, car, or bicycle from siem reap city"
can you explain is angkor wat open today immediately.,angkor wat is open daily from 5 am to 5:30 pm
can you explain where is phnom penh today.,phnom penh is the capital city of cambodia
any idea where what to see in phnom penh?,visit the royal palace and the national museum
i am curious about where is the royal palace please.,it is located along the riverside in phnom penh
search for what is the silver pagoda thanks.,it is a temple in the royal palace with a silver floor
info on where are the killing fields thanks.,choeung ek is about 15 kilometers from phnom penh
can you explain what is s21 prison thanks.,tuol sleng is a former prison museum in phnom penh
hey where is wat phnom please.,it is a hilltop temple that gives the capital its name
best place for shopping in phnom penh for me.,central market and russian market are the best
i want to know where is the riverside for me.,it is the sisowath quay area along the tonle sap river
what about how to get around phnom penh,passapp or grab for tuk tuks is the easiest way
hi is phnom penh safe at night thanks.,it is generally safe but watch your belongings
i am curious about where is the independence monument please.,it is at the intersection of norodom and sihanouk boulevards
tell me something about where are the best beaches specifically.,koh rong and koh rong samloem have the best beaches
